document_name,title,heading,content,tokens
Ley Orgánica de Protección de Datos Personales,ámbito de aplicación integral,art. 1.,"objeto y finalidad.-el objeto y finalidad de la presente ley es garantizar el ejercicio del
derecho a la protección de datos personales, que incluye el acceso y decisión sobre información y
datos de este carácter, así como su correspondiente protección. para dicho efecto regula, prevé y
desarrolla principios, derechos, obligaciones y mecanismos de tutela.
",90
Ley Orgánica de Protección de Datos Personales,ámbito de aplicación integral,art. 2.,"ámbito de aplicación material.-la presente ley se aplicará al tratamiento de datos personales
contenidos en cualquier tipo de soporte, automatizados o no, así como a toda modalidad de uso
posterior. la ley no será aplicable a: 	 	
a) personas naturales que utilicen estos datos en la realización de actividades familiares o
domésticas;
b) personas fallecidas, sin perjuicio de lo establecido en el artículo 28 de la presente ley;
c) datos anonimizados, en tanto no sea posible identificar a su titular. tan pronto los datos dejen de
estar disociados o de ser anónimos, su tratamiento estará sujeto al cumplimiento de las obligaciones
de esta ley, especialmente la de contar con una base de licitud para continuar tratando los datos de
manera no anonimizada o disociada;
d) actividades periodísticas y otros contenidos editoriales;
e) datos personales cuyo tratamiento se encuentre regulado en normativa especializada de igual o
mayor jerarquía en materia de gestión de riesgos por desastres naturales; y, seguridad y defensa del
estado, en cualquiera de estos casos deberá darse cumplimiento a los estándares internacionales en
la materia de derechos humanos y a los principios de esta ley, y como mínimo a los criterios de
legalidad, proporcionalidad y necesidad;
f) datos o bases de datos establecidos para la prevención, investigación, detección o enjuiciamiento
de infracciones penales o de ejecución de sanciones penales, llevado a cabo por los organismos
estatales competentes en cumplimiento de sus funciones legales. en cualquiera de estos casos
deberá darse cumplimiento a los estándares internacionales en la materia de derechos humanos y a
los principios de esta ley, y como mínimo a los criterios de legalidad, proporcionalidad y necesidad;
y
g) datos que identifican o hacen identificable a personas jurídicas.
son accesibles al público y susceptibles de tratamiento los datos personales referentes al contacto
de profesionales y los datos de comerciantes, representantes y socios y accionistas de personas
jurídicas y servidores públicos, siempre y cuando se refieran al ejercicio de su profesión, oficio, giro
de negocio, competencias, facultades, atribuciones o cargo y se trate de nombres y apellidos,
funciones o puestos desempeñados, dirección postal o electrónica, y, número de teléfono
profesional. en el caso de los servidores públicos, además serán de acceso público y susceptibles
de tratamiento de datos, el histórico y vigente de la declaración patrimonial y de su remuneración.
",626
Ley Orgánica de Protección de Datos Personales,ámbito de aplicación integral,art. 3.,"ámbito de aplicación territorial.-sin perjuicio de la normativa establecida en los instrumentos
internacionales ratificados por el estado ecuatoriano que versen sobre esta materia, se aplicará la
presente ley cuando:
1. el tratamiento de datos personales se realice en cualquier parte del territorio nacional;
2. el responsable o encargado del tratamiento de datos personales se encuentre domiciliado en
cualquier parte del territorio nacional;
3. se realice tratamiento de datos personales de titulares que residan en el ecuador por parte de un
responsable o encargado no establecido en el ecuador, cuando las actividades del tratamiento estén
relacionadas con: 1) la oferta de bienes o servicios a dichos titulares, independientemente de si a
estos se les requiere su pago, o, 2) del control de su comportamiento, en la medida en que este
tenga lugar en el ecuador; y,
4. al responsable o encargado del tratamiento de datos personales, no domiciliado en el territorio
nacional, le resulte aplicable la legislación nacional en virtud de un contrato o de las regulaciones
vigentes del derecho internacional público.
",279
Ley Orgánica de Protección de Datos Personales,ámbito de aplicación integral,art. 4.,"términos y definiciones.-para los efectos de la aplicación de la presente ley se establecen
las siguientes definiciones:
autoridad de protección de datos personales: autoridad pública independiente encargada de
supervisar la aplicación de la presente ley, reglamento y resoluciones que ella dicte, con el fin de
proteger los derechos y libertades fundamentales de las personas naturales, en cuanto al tratamiento
de sus datos personales.
anonimización: la aplicación de medidas dirigidas a impedir la identificación o reidentificación de una
persona natural, sin esfuerzos desproporcionados.
base de datos o fichero: conjunto estructurado de datos cualquiera que fuera la forma, modalidad de
creación, almacenamiento, organización, tipo de soporte, tratamiento, procesamiento, localización o
acceso, centralizado, descentralizado o repartido de forma funcional o geográfica.
consentimiento: manifestación de la voluntad libre, específica, informada e inequívoca, por el que el
titular de los datos personales autoriza al responsable del tratamiento de los datos personales a
tratar los mismos.
dato biométrico: dato personal único, relativo a las características físicas o fisiológicas, o conductas
de una persona natural que permita o confirme la identificación única de dicha persona, como
imágenes faciales o datos dactiloscópicos, entre otros.
dato genético: dato personal único relacionado a características genéticas heredadas o adquiridas
de una persona natural que proporcionan información única sobre la fisiología o salud de un
individuo.
dato personal: dato que identifica o hace identificable a una persona natural, directa o
indirectamente.
datos personales crediticios: datos que integran el comportamiento económico de personas
naturales, para analizar su capacidad financiera.
datos relativos a: etnia, identidad de género, identidad cultural, religión, ideología, filiación política,
pasado judicial, condición migratoria, orientación sexual, salud, datos biométricos, datos genéticos,
datos relativos a las personas apátridas y refugiados que requieren protección internacional, y
aquellos cuyo tratamiento indebido pueda dar origen a discriminación, atenten o puedan atentar
contra los derechos y libertades fundamentales.
datos relativos a la salud: datos personales relativos a la salud física o mental de una persona,
incluida la prestación de servicios de atención sanitaria, que revelen información sobre su estado de
salud.
datos sensibles: datos relativos a: etnia, identidad de género, identidad cultural, religión, ideología,
filiación política, pasado judicial, condición migratoria, orientación sexual, salud, datos biométricos,
datos genéticos y aquellos cuyo tratamiento indebido pueda dar origen a discriminación, atenten o
puedan atentar contra los derechos y libertades fundamentales.
delegado de protección de datos: persona natural encargada de informar al responsable o al
encargado del tratamiento sobre sus obligaciones legales en materia de protección de datos, así
como de velar o supervisar el cumplimiento normativo al respecto, y de cooperar con la autoridad de
protección de datos personales, sirviendo como punto de contacto entre esta y la entidad
responsable del tratamiento de datos.
destinatario: persona natural o jurídica que ha sido comunicada con datos personales.
elaboración de perfiles: todo tratamiento de datos personales que permite evaluar, analizar o
predecir aspectos de una persona natural para determinar comportamientos o estándares relativos a:
rendimiento profesional, situación económica, salud, preferencias personales, intereses, habilidad,
ubicación, movimiento físico de una persona, entre otros.
encargado del tratamiento de datos personales: persona natural o jurídica, pública o privada,
autoridad pública, u otro organismo que solo o conjuntamente con otros trate datos personales a
nombre y por cuenta de un responsable de tratamiento de datos personales.
entidad certificadora: entidad reconocida por la autoridad de protección de datos personales, que
podrá, de manera no exclusiva, proporcionar certificaciones en materia de protección de datos
personales.
fuente accesible al público: bases de datos que pueden ser consultadas por cualquier persona, cuyo
acceso es público, incondicional y generalizado.
responsable de tratamiento de datos personales: persona natural o jurídica, pública o privada,
autoridad pública, u otro organismo, que solo o conjuntamente con otros decide sobre la finalidad y el
tratamiento de datos personales.
sellos de protección de datos personales: acreditación que otorga la entidad certificadora al
responsable o al encargado del tratamiento de datos personales, de haber implementado mejores
prácticas en sus procesos, con el objetivo de promover la confianza del titular, de conformidad con la
normativa técnica emitida por la autoridad de protección de datos personales.
seudonimización: tratamiento de datos personales de manera tal que ya no puedan atribuirse a un
titular sin utilizar información adicional, siempre que dicha información adicional, figure por separado
y esté sujeta a medidas técnicas y organizativas destinadas a garantizar que los datos personales no
se atribuyan a una persona física identificada o identificable.
titular: persona natural cuyos datos son objeto de tratamiento.
transferencia o comunicación: manifestación, declaración, entrega, consulta, interconexión, cesión,
transmisión, difusión, divulgación o cualquier forma de revelación de datos personales realizada a
una persona distinta al titular, responsable o encargado del tratamiento de datos personales. los
datos personales que comuniquen deben ser exactos, completos y actualizados.
tratamiento: cualquier operación o conjunto de operaciones realizadas sobre datos personales, ya
sea por procedimientos técnicos de carácter automatizado, parcialmente automatizado o no
automatizado, tales como: la recogida, recopilación, obtención, registro, organización, estructuración,
conservación, custodia, adaptación, modificación, eliminación, indexación, extracción, consulta,
elaboración, utilización, posesión, aprovechamiento, distribución, cesión, comunicación o
transferencia, o cualquier otra forma de habilitación de acceso, cotejo, interconexión, limitación,
supresión, destrucción y, en general, cualquier uso de datos personales.
vulneración de la seguridad de los datos personales: incidente de seguridad que afecta la
confidencialidad, disponibilidad o integridad de los datos personales.
",1626
Ley Orgánica de Protección de Datos Personales,ámbito de aplicación integral,art. 5.,"integrantes del sistema de protección de datos personales.-son parte del sistema de
protección de datos personales, los siguientes:
1) titular;
2) responsable del tratamiento;
3) encargado del tratamiento;
4) destinatario;
5) autoridad de protección de datos personales; y,
6) delegado de protección de datos personales.
",80
Ley Orgánica de Protección de Datos Personales,ámbito de aplicación integral,art. 6.,"normas aplicables al ejercicio de derechos.-el ejercicio de los derechos previstos en esta ley
se canalizará a través del responsable del tratamiento, autoridad de protección de datos personales
o jueces competentes, de conformidad con el procedimiento establecido en la presente ley y su
respectivo reglamento de aplicación. el reglamento a esta ley u otra norma secundaria no podrán
limitar al ejercicio de los derechos.
",106
Ley Orgánica de Protección de Datos Personales,ámbito de aplicación integral,art. 7.,"tratamiento legítimo de datos personas (sic).-el tratamiento será legítimo y lícito si se cumple
con alguna de las siguientes condiciones:
1) por consentimiento del titular para el tratamiento de sus datos personales, para una o varias
finalidades especificas;
2) que sea realizado por el responsable del tratamiento en cumplimiento de una obligación legal;
3) que sea realizado por el responsable del tratamiento, por orden judicial, debiendo observarse los
principios de la presente ley;
4) que el tratamiento de datos personales se sustente en el cumplimiento de una misión realizada en
interés público o en el ejercicio de poderes públicos conferidos al responsable, derivados de una
competencia atribuida por una norma con rango de ley, sujeto al cumplimiento de los estándares
internacionales de derechos humanos aplicables a la materia, al cumplimiento de los principios de
esta ley y a los criterios de legalidad, proporcionalidad y necesidad;
5) para la ejecución de medidas precontractuales a petición del titular o para el cumplimiento de
obligaciones contractuales perseguidas por el responsable del tratamiento de datos personales,
encargado del tratamiento de datos personales o por un tercero legalmente habilitado;
6) para proteger intereses vitales del interesado o de otra persona natural, como su vida, salud o
integridad;
7) para tratamiento de datos personales que consten en bases de datos de acceso público; u,
8) para satisfacer un interés legítimo del responsable de tratamiento o de tercero, siempre que no
prevalezca el interés o derechos fundamentales de los titulares al amparo de lo dispuesto en esta
norma.
",410
Ley Orgánica de Protección de Datos Personales,ámbito de aplicación integral,art. 8.,"consentimiento.-se podrán tratar y comunicar datos personales cuando se cuente con la
manifestación de la voluntad del titular para hacerlo. el consentimiento será válido, cuando la
manifestación de la voluntad sea:
1) libre, es decir, cuando se encuentre exenta de vicios del consentimiento;
2) específica, en cuanto a la determinación concreta de los medios y fines del tratamiento;
3) informada, de modo que cumpla con el principio de transparencia y efectivice el derecho a la
transparencia,
4) inequívoca, de manera que no presente dudas sobre el alcance de la autorización otorgada por el
titular.
el consentimiento podrá revocarse en cualquier momento sin que sea necesaria una justificación,
para lo cual el responsable del tratamiento de datos personales establecerá mecanismos que
garanticen celeridad, eficiencia, eficacia y gratuidad, así como un procedimiento sencillo, similar al
proceder con el cual recabó el consentimiento.
el tratamiento realizado antes de revocar el consentimiento es lícito, en virtud de que este no tiene
efectos retroactivos.
cuando se pretenda fundar el tratamiento de los datos en el consentimiento del afectado para una
pluralidad de finalidades será preciso que conste que dicho consentimiento se otorga para todas
ellas.
",316
Ley Orgánica de Protección de Datos Personales,ámbito de aplicación integral,art. 9.,"interés legítimo.-cuando el tratamiento de datos personales tiene como fundamento el interés
legítimo:
a) únicamente podrán ser tratados los datos que sean estrictamente necesarios para la realización
de la finalidad.
b) el responsable debe garantizar que el tratamiento sea transparente para el titular.
c) la autoridad de protección de datos puede requerir al responsable un informe con (sic) de riesgo
para la protección de datos en el cual se verificará si no hay amenazas concretas a las expectativas
legítimas de los titulares y a sus derechos fundamentales.
",141
Ley Orgánica de Protección de Datos Personales,principios,art. 10.,"principios.-sin perjuicio de otros principios establecidos en la constitución de la república,
los instrumentos internacionales ratificados por el estado u otras normas jurídicas, la presente ley se
regirá por los principios de:
a) juridicidad.-los datos personales deben tratarse con estricto apego y cumplimiento a los
principios, derechos y obligaciones establecidas en la constitución, los instrumentos internacionales,
la presente ley, su reglamento y la demás normativa y jurisprudencia aplicable.
b) lealtad.-el tratamiento de datos personales deberá ser leal, por lo que para los titulares debe
quedar claro que se están recogiendo, utilizando, consultando o tratando de otra manera, datos
personales que les conciernen, así como las formas en que dichos datos son o serán tratados.
en ningún caso los datos personales podrán ser tratados a través de medios o para fines, ilícitos o
desleales.
c) transparencia.-el tratamiento de datos personales deberá ser transparente, por lo que toda
información o comunicación relativa a este tratamiento deberá ser fácilmente accesible y fácil de
entender y se deberá utilizar un lenguaje sencillo y claro.
las relaciones derivadas del tratamiento de datos personales deben ser transparentes y se rigen en
función de las disposiciones contenidas en la presente ley, su reglamento y demás normativa
atinente a la materia.
d) finalidad.-las finalidades del tratamiento deberán ser determinadas, explícitas, legítimas y
comunicadas al titular: no podrán tratarse datos personales con fines distintos para los cuales fueron
recopilados, a menos que concurra una de las causales que habiliten un nuevo tratamiento conforme
los supuestos de tratamiento legítimo señalados en esta ley.
el tratamiento de datos personales con fines distintos de aquellos para los que hayan sido recogidos
inicialmente solo debe permitirse cuando sea compatible con los fines de su recogida inicial. para
ello, habrá de considerarse el contexto en el que se recogieron los datos, la información facilitada al
titular en ese proceso y, en particular, las expectativas razonables del titular basadas en su relación
con el responsable en cuanto a su uso posterior, la naturaleza de los datos personales, las
consecuencias para los titulares del tratamiento ulterior previsto y la existencia de garantías
adecuadas tanto en la operación de tratamiento original como en la operación de tratamiento ulterior
prevista.
e) pertinencia y minimización de datos personales.-los datos personales deben ser pertinentes y
estar limitados a lo estrictamente necesario para el cumplimiento de la finalidad del tratamiento.
f) proporcionalidad del tratamiento.-el tratamiento debe ser adecuado, necesario, oportuno, relevante
y no excesivo con relación a las finalidades para las cuales hayan sido recogidos o a la naturaleza
misma, de las categorías especiales de datos.
g) confidencialidad.-el tratamiento de datos personales debe concebirse sobre la base del debido
sigilo y secreto, es decir, no debe tratarse o comunicarse para un fin distinto para el cual fueron
recogidos, a menos que concurra una de las causales que habiliten un nuevo tratamiento conforme
los supuestos de tratamiento legítimo señalados en esta ley.
para tal efecto, el responsable del tratamiento deberá adecuar las medidas técnicas organizativas
para cumplir con este principio.
h) calidad y exactitud.-los datos personales que sean objeto de tratamiento deben ser exactos,
íntegros, precisos, completos, comprobables, claros; y, de ser el caso, debidamente actualizados; de
tal forma que no se altere su veracidad. se adoptarán todas las medidas razonables para que se
supriman o rectifiquen sin dilación los datos personales que sean inexactos con respecto a los fines
para los que se tratan.
en caso de tratamiento por parte de un encargado, la calidad y exactitud será obligación del
responsable del tratamiento de datos personales.
siempre que el responsable del tratamiento haya adoptado todas las medidas razonables para que
se supriman o rectifiquen sin dilación, no le será imputable la inexactitud de los datos personales,
con respecto a los fines para los que se tratan, cuando los datos inexactos:
a) hubiesen sido obtenidos por el responsable directamente del titular.
b) hubiesen sido obtenidos por el responsable de un intermediario en caso de que las normas
aplicables al sector de actividad al que pertenezca el responsable del tratamiento establecieran la
posibilidad de intervención de un intermediario que recoja en nombre propio los datos de los
afectados para su transmisión al responsable.
c) fuesen obtenidos de un registro público por el responsable.
i) conservación.-los datos personales serán conservados durante un tiempo no mayor al necesario
para cumplir con la finalidad de su tratamiento.
para garantizar que los datos personales no se conserven más tiempo del necesario, el responsable
del tratamiento establecerá plazos para su supresión o revisión periódica.
la conservación ampliada de tratamiento de datos personales únicamente se realizará con fines de
archivo en interés público, fines de investigación científica, histórica o estadística, siempre y cuando
se establezcan las garantías de seguridad y protección de datos personales, oportunas y necesarias,
para salvaguardar los derechos previstos en esta norma.
j) seguridad de datos personales.-los responsables y encargados de tratamiento de los datos
personales deberán implementar todas las medidas de seguridad adecuadas y necesarias,
entendiéndose por tales las aceptadas por el estado de la técnica, sean estas organizativas, técnicas
o de cualquier otra índole, para proteger los datos personales frente a cualquier riesgo, amenaza,
vulnerabilidad, atendiendo a la naturaleza de los datos de carácter personal, al ámbito y el contexto.
k) responsabilidad proactiva y demostrada.-el responsable del tratamiento de datos personales
deberá acreditar el haber implementado mecanismos para la protección de datos personales; es
decir, el cumplimiento de los principios, derechos y obligaciones establecidos en la presente ley,
para lo cual, además de lo establecido en la normativa aplicable, podrá valerse de estándares,
mejores prácticas, esquemas de auto y coregulación, códigos de protección, sistemas de
certificación, sellos de protección de datos personales o cualquier otro mecanismo que se determine
adecuado a los fines, la naturaleza del dato personal o el riesgo del tratamiento.
el responsable del tratamiento de datos personales está obligado a rendir cuentas sobre el
tratamiento al titular y a la autoridad de protección de datos personales.
el responsable del tratamiento de datos personales deberá evaluar y revisar los mecanismos que
adopte para cumplir con el principio de responsabilidad de forma continua y permanente, con el
objeto de mejorar su nivel de eficacia en cuanto a la aplicación de la presente ley.
l) aplicación favorable al titular.-en caso de duda sobre el alcance de las disposiciones del
ordenamiento jurídico o contractuales, aplicables a la protección de datos personales, los
funcionarios judiciales y administrativos las interpretarán y aplicarán en el sentido más favorable al
titular de dichos datos.
m) independencia del control.-para el efectivo ejercicio del derecho a la protección de datos
personales, y en cumplimiento de las obligaciones de protección de los derechos que tiene el
estado, la autoridad de protección de datos deberá ejercer un control independiente, imparcial y
autónomo, así como llevar a cabo las respectivas acciones de prevención, investigación y sanción.
",1901
